ID	age	gender	height
1	10	girl	138.6
2	10	girl	140.9
3	10	girl	148.8
4	10	girl	143
5	10	girl	141
6	10	girl	136.4
7	10	girl	132.5
8	10	girl	161.5
9	10	girl	141.5
10	10	girl	148.7
11	10	girl	138.2
12	10	girl	137.5
13	10	girl	127.7
14	10	girl	141.4
15	10	girl	146
16	10	girl	128.5
17	10	girl	143.6
18	10	girl	150.2
19	10	girl	141.6
20	10	girl	144.2
21	10	girl	146
22	10	girl	141.4
23	10	girl	137.8
24	10	girl	133.9
25	10	girl	145.6
26	10	girl	130.1
27	10	girl	141.9
28	10	girl	138
29	10	girl	126.8
30	10	girl	137.8
31	10	girl	139
32	10	girl	146.1
33	10	girl	142.2
34	10	girl	138.4
35	10	girl	143.8
36	10	girl	137.6
37	10	girl	135
38	10	girl	151.8
39	10	girl	145
40	10	girl	146
41	10	girl	139.5
42	10	girl	128.4
43	10	girl	147
44	10	girl	141.2
45	10	girl	137.8
46	10	girl	138.8
47	10	girl	137.9
48	10	girl	134.4
49	10	girl	141.7
50	10	girl	141.8
51	10	girl	141.4
52	10	girl	139.4
53	10	girl	148.1
54	10	girl	148
55	10	boy	150.5
56	10	boy	139.7
57	10	boy	133.4
58	10	boy	141.4
59	10	boy	134.2
60	10	boy	137.3
61	10	boy	138
62	10	boy	144.7
63	10	boy	135.9
64	10	boy	150.5
65	10	boy	141.7
66	10	boy	146
67	10	boy	142.2
68	10	boy	146.5
69	10	boy	145
70	10	boy	145.7
71	10	boy	143.8
72	10	boy	144.8
73	10	boy	139.3
74	10	boy	140
75	10	boy	136.7
76	10	boy	136.8
77	10	boy	139.1
78	10	boy	134.5
79	10	boy	136.9
80	10	boy	142.6
81	10	boy	145
82	10	boy	134
83	10	boy	153.4
84	10	boy	141.9
85	10	boy	143.9
86	10	boy	150.5
87	10	boy	139.7
88	10	boy	136.1
89	10	boy	154
90	10	boy	143
91	10	boy	148.3
92	10	boy	147.8
93	10	boy	139.8
1	11	girl	146.8
2	11	girl	146.1
3	11	girl	155.6
4	11	girl	148.5
5	11	girl	147
6	11	girl	143.7
7	11	girl	137.4
8	11	girl	170.2
9	11	girl	148.9
10	11	girl	156.6
11	11	girl	142.7
12	11	girl	143.1
13	11	girl	131.6
14	11	girl	146.6
15	11	girl	154.3
16	11	girl	134.3
17	11	girl	151.9
18	11	girl	157.3
19	11	girl	152.1
20	11	girl	150.2
21	11	girl	154.4
22	11	girl	149.7
23	11	girl	145.8
24	11	girl	140.1
25	11	girl	152.2
26	11	girl	135.5
27	11	girl	148.1
28	11	girl	145.8
29	11	girl	131.7
30	11	girl	143.5
31	11	girl	145.1
32	11	girl	154.1
33	11	girl	148.3
34	11	girl	145.8
35	11	girl	150.6
36	11	girl	143.7
37	11	girl	139.9
38	11	girl	158.7
39	11	girl	152
40	11	girl	154.3
41	11	girl	146.7
42	11	girl	134.2
43	11	girl	155.8
44	11	girl	147.4
45	11	girl	145
46	11	girl	146.8
47	11	girl	145.4
48	11	girl	141.3
49	11	girl	148.1
50	11	girl	148.1
51	11	girl	147.6
52	11	girl	145.4
53	11	girl	154.8
54	11	girl	154.7
55	11	boy	156.2
56	11	boy	144.2
57	11	boy	138.4
58	11	boy	146.4
59	11	boy	140.5
60	11	boy	142
61	11	boy	141.6
62	11	boy	151.2
63	11	boy	139.6
64	11	boy	156.8
65	11	boy	146.6
66	11	boy	151.8
67	11	boy	147.4
68	11	boy	152.2
69	11	boy	150.5
70	11	boy	151.3
71	11	boy	149.5
72	11	boy	152.3
73	11	boy	144
74	11	boy	145.6
75	11	boy	141.5
76	11	boy	142.2
77	11	boy	143.8
78	11	boy	139
79	11	boy	141.6
80	11	boy	147.9
81	11	boy	149.5
82	11	boy	138.8
83	11	boy	159.1
84	11	boy	146.2
85	11	boy	149.5
86	11	boy	156.1
87	11	boy	144.4
88	11	boy	141.7
89	11	boy	160.9
90	11	boy	148
91	11	boy	154.2
92	11	boy	153.5
93	11	boy	145.1
1	12	girl	153.1
2	12	girl	152.9
3	12	girl	159.6
4	12	girl	154.8
5	12	girl	153
6	12	girl	152
7	12	girl	142.1
8	12	girl	176
9	12	girl	156.2
10	12	girl	164.7
11	12	girl	146.2
12	12	girl	150.7
13	12	girl	135.6
14	12	girl	151.4
15	12	girl	162.6
16	12	girl	140.5
17	12	girl	157
18	12	girl	164.5
19	12	girl	159.4
20	12	girl	158.4
21	12	girl	162.4
22	12	girl	157
23	12	girl	153.8
24	12	girl	147.3
25	12	girl	159
26	12	girl	142.9
27	12	girl	155.6
28	12	girl	155.2
29	12	girl	137
30	12	girl	151.7
31	12	girl	151.3
32	12	girl	160.4
33	12	girl	153.9
34	12	girl	154.3
35	12	girl	157.9
36	12	girl	150.6
37	12	girl	145
38	12	girl	165.5
39	12	girl	160.5
40	12	girl	161.2
41	12	girl	153.7
42	12	girl	141.3
43	12	girl	164.5
44	12	girl	153.8
45	12	girl	153.8
46	12	girl	154.6
47	12	girl	153.3
48	12	girl	147
49	12	girl	155.8
50	12	girl	153.9
51	12	girl	154.9
52	12	girl	152.2
53	12	girl	161.6
54	12	girl	161.7
55	12	boy	163.8
56	12	boy	148.1
57	12	boy	143.6
58	12	boy	151.4
59	12	boy	145.9
60	12	boy	146.9
61	12	boy	145.5
62	12	boy	158.2
63	12	boy	143.7
64	12	boy	164.6
65	12	boy	150.5
66	12	boy	158
67	12	boy	151.9
68	12	boy	159.2
69	12	boy	157.4
70	12	boy	158.1
71	12	boy	155.3
72	12	boy	161.2
73	12	boy	148.6
74	12	boy	152.3
75	12	boy	145.8
76	12	boy	146.6
77	12	boy	149
78	12	boy	145.3
79	12	boy	146.7
80	12	boy	153.5
81	12	boy	153.2
82	12	boy	143.3
83	12	boy	167.1
84	12	boy	150.1
85	12	boy	158.4
86	12	boy	163.7
87	12	boy	148.6
88	12	boy	147.4
89	12	boy	166.3
90	12	boy	153.6
91	12	boy	161.8
92	12	boy	161.5
93	12	boy	150.2
1	13	girl	156.2
2	13	girl	159.5
3	13	girl	160.3
4	13	girl	161.2
5	13	girl	161
6	13	girl	158.9
7	13	girl	146.4
8	13	girl	178.3
9	13	girl	161.4
10	13	girl	169.1
11	13	girl	151.3
12	13	girl	157
13	13	girl	139.5
14	13	girl	157.8
15	13	girl	166
16	13	girl	146.8
17	13	girl	158.9
18	13	girl	168
19	13	girl	162
20	13	girl	163.9
21	13	girl	167.9
22	13	girl	160.4
23	13	girl	158.8
24	13	girl	153
25	13	girl	166
26	13	girl	150
27	13	girl	160.3
28	13	girl	161
29	13	girl	143.9
30	13	girl	159.2
31	13	girl	157.7
32	13	girl	162.6
33	13	girl	160.3
34	13	girl	158.7
35	13	girl	163.6
36	13	girl	157.5
37	13	girl	151.8
38	13	girl	170.7
39	13	girl	165.9
40	13	girl	165.1
41	13	girl	158
42	13	girl	147.7
43	13	girl	168.5
44	13	girl	161.1
45	13	girl	158.9
46	13	girl	158.6
47	13	girl	157.4
48	13	girl	150.3
49	13	girl	164.8
50	13	girl	161.3
51	13	girl	163.2
52	13	girl	158.7
53	13	girl	165.3
54	13	girl	165.6
55	13	boy	174.9
56	13	boy	151.6
57	13	boy	150.8
58	13	boy	157.7
59	13	boy	152
60	13	boy	153.4
61	13	boy	150.3
62	13	boy	166.5
63	13	boy	148.6
64	13	boy	174.3
65	13	boy	154
66	13	boy	165.3
67	13	boy	158.2
68	13	boy	168.6
69	13	boy	166.6
70	13	boy	167.5
71	13	boy	163.6
72	13	boy	169.5
73	13	boy	155
74	13	boy	162
75	13	boy	150
76	13	boy	154
77	13	boy	154.2
78	13	boy	154.4
79	13	boy	153.3
80	13	boy	158.7
81	13	boy	157.1
82	13	boy	148.1
83	13	boy	177.1
84	13	boy	155.1
85	13	boy	168
86	13	boy	174.2
87	13	boy	153.1
88	13	boy	155.9
89	13	boy	171
90	13	boy	162.1
91	13	boy	171.1
92	13	boy	169.7
93	13	boy	156.7
1	14	girl	157.7
2	14	girl	162.6
3	14	girl	161.6
4	14	girl	165.2
5	14	girl	166
6	14	girl	162.2
7	14	girl	152.2
8	14	girl	180
9	14	girl	163.1
10	14	girl	171.3
11	14	girl	158.3
12	14	girl	160.5
13	14	girl	145
14	14	girl	164.5
15	14	girl	168.3
16	14	girl	150.2
17	14	girl	159.7
18	14	girl	169.3
19	14	girl	163.6
20	14	girl	166.8
21	14	girl	170.1
22	14	girl	161.8
23	14	girl	160.5
24	14	girl	155.6
25	14	girl	174.3
26	14	girl	153.6
27	14	girl	162.8
28	14	girl	163.9
29	14	girl	149.6
30	14	girl	163.8
31	14	girl	161.4
32	14	girl	163
33	14	girl	166.9
34	14	girl	160.9
35	14	girl	166.2
36	14	girl	162.2
37	14	girl	158.3
38	14	girl	173.4
39	14	girl	168.8
40	14	girl	167.4
41	14	girl	160.4
42	14	girl	151.5
43	14	girl	170.1
44	14	girl	165.2
45	14	girl	161.8
46	14	girl	160.5
47	14	girl	158.9
48	14	girl	151.4
