Branch.ID	Location	Species	Transpiration	Moisture
1	Central	Loblolly Pine	Rapid	1304
1	Distal	Loblolly Pine	Rapid	1343
1	Proximal	Loblolly Pine	Rapid	1252
1	Central	Loblolly Pine	Slow	1269
1	Distal	Loblolly Pine	Slow	1320
1	Proximal	Loblolly Pine	Slow	1218
2	Central	Loblolly Pine	Rapid	1149
2	Distal	Loblolly Pine	Rapid	1150
2	Proximal	Loblolly Pine	Rapid	1114
2	Central	Loblolly Pine	Slow	1203
2	Distal	Loblolly Pine	Slow	1187
2	Proximal	Loblolly Pine	Slow	1179
3	Central	Loblolly Pine	Rapid	1263
3	Distal	Loblolly Pine	Rapid	1250
3	Proximal	Loblolly Pine	Rapid	1171
3	Central	Loblolly Pine	Slow	1211
3	Distal	Loblolly Pine	Slow	1266
3	Proximal	Loblolly Pine	Slow	1143
4	Central	Loblolly Pine	Rapid	1336
4	Distal	Loblolly Pine	Rapid	1293
4	Proximal	Loblolly Pine	Rapid	1258
4	Central	Loblolly Pine	Slow	1767
4	Distal	Loblolly Pine	Slow	1481
4	Proximal	Loblolly Pine	Slow	1252
5	Central	Loblolly Pine	Rapid	1261
5	Distal	Loblolly Pine	Rapid	1252
5	Proximal	Loblolly Pine	Rapid	1185
5	Central	Loblolly Pine	Slow	1278
5	Distal	Loblolly Pine	Slow	1334
5	Proximal	Loblolly Pine	Slow	1172
6	Central	Shortleaf Pine	Rapid	1099
6	Distal	Shortleaf Pine	Rapid	1145
6	Proximal	Shortleaf Pine	Rapid	964
6	Central	Shortleaf Pine	Slow	972
6	Distal	Shortleaf Pine	Slow	992
6	Proximal	Shortleaf Pine	Slow	909
7	Central	Shortleaf Pine	Rapid	1063
7	Distal	Shortleaf Pine	Rapid	1094
7	Proximal	Shortleaf Pine	Rapid	965
7	Central	Shortleaf Pine	Slow	784
7	Distal	Shortleaf Pine	Slow	767
7	Proximal	Shortleaf Pine	Slow	740
8	Central	Shortleaf Pine	Rapid	1115
8	Distal	Shortleaf Pine	Rapid	1164
8	Proximal	Shortleaf Pine	Rapid	945
8	Central	Shortleaf Pine	Slow	990
8	Distal	Shortleaf Pine	Slow	993
8	Proximal	Shortleaf Pine	Slow	975
9	Central	Shortleaf Pine	Rapid	1244
9	Distal	Shortleaf Pine	Rapid	1235
9	Proximal	Shortleaf Pine	Rapid	1122
9	Central	Shortleaf Pine	Slow	716
9	Distal	Shortleaf Pine	Slow	708
9	Proximal	Shortleaf Pine	Slow	689
10	Central	Shortleaf Pine	Rapid	1115
10	Distal	Shortleaf Pine	Rapid	1092
10	Proximal	Shortleaf Pine	Rapid	861
10	Central	Shortleaf Pine	Slow	851
10	Distal	Shortleaf Pine	Slow	875
10	Proximal	Shortleaf Pine	Slow	874
11	Central	Yellow Poplar	Rapid	1287
11	Distal	Yellow Poplar	Rapid	1124
11	Proximal	Yellow Poplar	Rapid	1171
11	Central	Yellow Poplar	Slow	1143
11	Distal	Yellow Poplar	Slow	1099
11	Proximal	Yellow Poplar	Slow	996
12	Central	Yellow Poplar	Rapid	1487
12	Distal	Yellow Poplar	Rapid	1264
12	Proximal	Yellow Poplar	Rapid	1294
12	Central	Yellow Poplar	Slow	1230
12	Distal	Yellow Poplar	Slow	1218
12	Proximal	Yellow Poplar	Slow	1146
13	Central	Yellow Poplar	Rapid	1246
13	Distal	Yellow Poplar	Rapid	1186
13	Proximal	Yellow Poplar	Rapid	1165
13	Central	Yellow Poplar	Slow	1222
13	Distal	Yellow Poplar	Slow	1246
13	Proximal	Yellow Poplar	Slow	1112
14	Central	Yellow Poplar	Rapid	1398
14	Distal	Yellow Poplar	Rapid	1278
14	Proximal	Yellow Poplar	Rapid	1276
14	Central	Yellow Poplar	Slow	1144
14	Distal	Yellow Poplar	Slow	1190
14	Proximal	Yellow Poplar	Slow	1083
15	Central	Yellow Poplar	Rapid	1336
15	Distal	Yellow Poplar	Rapid	1153
15	Proximal	Yellow Poplar	Rapid	1147
15	Central	Yellow Poplar	Slow	1120
15	Distal	Yellow Poplar	Slow	1139
15	Proximal	Yellow Poplar	Slow	993
16	Central	Red Gum	Rapid	1159
16	Distal	Red Gum	Rapid	1026
16	Proximal	Red Gum	Rapid	969
16	Central	Red Gum	Slow	1101
16	Distal	Red Gum	Slow	1107
16	Proximal	Red Gum	Slow	1060
17	Central	Red Gum	Rapid	1154
17	Distal	Red Gum	Rapid	1071
17	Proximal	Red Gum	Rapid	1066
17	Central	Red Gum	Slow	1098
17	Distal	Red Gum	Slow	1156
17	Proximal	Red Gum	Slow	1298
18	Central	Red Gum	Rapid	1447
18	Distal	Red Gum	Rapid	1222
18	Proximal	Red Gum	Rapid	1261
18	Central	Red Gum	Slow	884
18	Distal	Red Gum	Slow	1083
18	Proximal	Red Gum	Slow	942
19	Central	Red Gum	Rapid	1983
19	Distal	Red Gum	Rapid	1180
19	Proximal	Red Gum	Rapid	1207
19	Central	Red Gum	Slow	980
19	Distal	Red Gum	Slow	981
19	Proximal	Red Gum	Slow	905
20	Central	Red Gum	Rapid	1177
20	Distal	Red Gum	Rapid	1063
20	Proximal	Red Gum	Rapid	1072
20	Central	Red Gum	Slow	1017
20	Distal	Red Gum	Slow	1025
20	Proximal	Red Gum	Slow	962
