id	trt	time	wt
1	Control	0	57
2	Control	0	60
3	Control	0	52
4	Control	0	49
5	Control	0	56
6	Control	0	46
7	Control	0	51
8	Control	0	63
9	Control	0	49
10	Control	0	57
11	Thiouracil	0	61
12	Thiouracil	0	59
13	Thiouracil	0	53
14	Thiouracil	0	59
15	Thiouracil	0	51
16	Thiouracil	0	51
17	Thiouracil	0	56
18	Thiouracil	0	58
19	Thiouracil	0	46
20	Thiouracil	0	53
21	Thyroxin	0	59
22	Thyroxin	0	54
23	Thyroxin	0	56
24	Thyroxin	0	59
25	Thyroxin	0	57
26	Thyroxin	0	52
27	Thyroxin	0	52
1	Control	1	86
2	Control	1	93
3	Control	1	77
4	Control	1	67
5	Control	1	81
6	Control	1	70
7	Control	1	71
8	Control	1	91
9	Control	1	67
10	Control	1	82
11	Thiouracil	1	86
12	Thiouracil	1	80
13	Thiouracil	1	79
14	Thiouracil	1	88
15	Thiouracil	1	75
16	Thiouracil	1	75
17	Thiouracil	1	78
18	Thiouracil	1	69
19	Thiouracil	1	61
20	Thiouracil	1	72
21	Thyroxin	1	85
22	Thyroxin	1	71
23	Thyroxin	1	75
24	Thyroxin	1	85
25	Thyroxin	1	72
26	Thyroxin	1	73
27	Thyroxin	1	70
1	Control	2	114
2	Control	2	123
3	Control	2	111
4	Control	2	100
5	Control	2	104
6	Control	2	102
7	Control	2	94
8	Control	2	112
9	Control	2	90
10	Control	2	110
11	Thiouracil	2	109
12	Thiouracil	2	101
13	Thiouracil	2	100
14	Thiouracil	2	100
15	Thiouracil	2	101
16	Thiouracil	2	92
17	Thiouracil	2	95
18	Thiouracil	2	93
19	Thiouracil	2	78
20	Thiouracil	2	89
21	Thyroxin	2	121
22	Thyroxin	2	90
23	Thyroxin	2	108
24	Thyroxin	2	116
25	Thyroxin	2	97
26	Thyroxin	2	97
27	Thyroxin	2	105
1	Control	3	139
2	Control	3	146
3	Control	3	144
4	Control	3	129
5	Control	3	121
6	Control	3	131
7	Control	3	110
8	Control	3	130
9	Control	3	112
10	Control	3	139
11	Thiouracil	3	120
12	Thiouracil	3	111
13	Thiouracil	3	106
14	Thiouracil	3	111
15	Thiouracil	3	123
16	Thiouracil	3	100
17	Thiouracil	3	103
18	Thiouracil	3	114
19	Thiouracil	3	90
20	Thiouracil	3	104
21	Thyroxin	3	146
22	Thyroxin	3	110
23	Thyroxin	3	151
24	Thyroxin	3	148
25	Thyroxin	3	120
26	Thyroxin	3	116
27	Thyroxin	3	138
1	Control	4	172
2	Control	4	177
3	Control	4	185
4	Control	4	164
5	Control	4	151
6	Control	4	153
7	Control	4	141
8	Control	4	154
9	Control	4	140
10	Control	4	169
11	Thiouracil	4	129
12	Thiouracil	4	122
13	Thiouracil	4	133
14	Thiouracil	4	122
15	Thiouracil	4	140
16	Thiouracil	4	119
17	Thiouracil	4	108
18	Thiouracil	4	138
19	Thiouracil	4	107
20	Thiouracil	4	122
21	Thyroxin	4	181
22	Thyroxin	4	138
23	Thyroxin	4	189
24	Thyroxin	4	177
25	Thyroxin	4	144
26	Thyroxin	4	140
27	Thyroxin	4	171
